44,2,2,2,"1 LAB","EWE","NW","C14",,21,2.00000,,,,"20230901","20240630",0.00880,,,"C14",,,,"aBn",,,,,,,,,,0,0,,,,,200000,2.00000,,,,,0,
46,1,1,1,"1 LAB","MSM","KL","C14",,21,1.00000,,,,"20230901","20240630",0.00440,,,"C14",,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
50,4,4,4,"1 LAC","MSM","LA","C11",,22,4.00000,,,,"20230901","20240630",0.01760,,,"C11",,,,"aBn",,,,,,,,,,0,0,,,,,400000,4.00000,,,,,0,
52,1,1,1,"1 LAC","HVG","EN","C11",,22,1.00000,,,,"20230901","20240630",0.00440,,,"C11",,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
54,3,3,3,"1 LAC","ATR","FR","C11",,22,3.00000,,,,"20230901","20240630",0.01320,,,"C11",,,,"aBn",,,,,,,,,,0,0,,,,,300000,3.00000,,,,,0,
66,4,4,4,"1 LAC","HVG","NE","C11",,22,4.00000,,,,"20230901","20240630",0.01760,,,"C11",,,,"aBn",,,,,,,,,,0,0,,,,,400000,4.00000,,,,,0,
68,4,4,4,"1 LAC","ASA","WI","C11",,22,4.00000,,,,"20230901","20240630",0.01760,,,"C11",,,,"aBn",,,,,,,,,,0,0,,,,,400000,4.00000,,,,,0,
70,1,1,1,"1 LAC","RVE","MO","E13",,22,1.00000,,,,"20230901","20240630",0.00440,,,"C11",,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
72,1,1,1,"1 LAC","MDJ","BE","A35",,22,1.00000,,,,"20230901","20240630",0.00440,,,"C11",,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
74,2,2,2,"1 LAC","ABE","TE","D13",,22,2.00000,,,,"20230901","20240630",0.00880,,,,,,,"n",,,,,,,,,,0,0,,,,,200000,2.00000,,,,,0,
76,2,2,2,"1 LAC","EWE","NW","C11",,22,2.00000,,,,"20230901","20240630",0.00880,,,"C11",,,,"aBn",,,,,,,,,,0,0,,,,,200000,2.00000,,,,,0,
78,1,1,1,"1 LAC","HVG","KL","C11",,22,1.00000,,,,"20230901","20240630",0.00440,,,"C11",,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
80,2,2,2,"1 LAC","RVA","AA","D23",,22,2.00000,,,,"20230901","20240630",0.00880,,,"C11",,,,"aBn",,,,,,,,,,0,0,,,,,200000,2.00000,,,,,0,
81,1,1,1,"1 PLA","HVG","EN","D11",,20,1.00000,,,,"20230901","20240630",0.00440,,,"D11",,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
82,3,3,3,"1 PLA","CTR","FR","D11",,20,3.00000,,,,"20230901","20240630",0.01320,,,"D11",,,,"aBn",,,,,,,,,,0,0,,,,,300000,3.00000,,,,,0,
88,5,5,5,"1 PLA","HVG","NE","D11",,20,5.00000,,,,"20230901","20240630",0.02200,,,"D11",,,,"aBn",,,,,,,,,,0,0,,,,,500000,5.00000,,,,,0,
90,1,1,1,"1 PLA","RVE","MO","E13",,20,1.00000,,,,"20230901","20240630",0.00440,,,"D11",,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
91,1,1,1,"1 PLA","MDJ","BE","A35",,20,1.00000,,,,"20230901","20240630",0.00440,,,"D11",,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
92,2,2,2,"1 PLA","ABE","TE","D13",,20,2.00000,,,,"20230901","20240630",0.00880,,,,,,,"aBn",,,,,,,,,,0,0,,,,,200000,2.00000,,,,,0,
93,2,2,2,"1 PLA","EWE","NW","D11",,20,2.00000,,,,"20230901","20240630",0.00880,,,"D11",,,,"aBn",,,,,,,,,,0,0,,,,,200000,2.00000,,,,,0,
94,2,2,2,"1 PLA","RVA","AA","D23",,20,2.00000,,,,"20230901","20240630",0.00880,,,"D11",,,,"aBn",,,,,,,,,,0,0,,,,,200000,2.00000,,,,,0,
96,1,1,1,"1 PLA","GBA","KL","D11",,20,1.00000,,,,"20230901","20240630",0.00440,,,"D11",,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
98,1,1,1,"1 PLB","HVG","EN","D12",,19,1.00000,,,,"20230901","20240630",0.00440,,,"D12",,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
100,3,3,3,"1 PLB","ATR","FR","D12",,19,3.00000,,,,"20230901","20240630",0.01320,,,"D12",,,,"aBn",,,,,,,,,,0,0,,,,,300000,3.00000,,,,,0,
110,2,2,2,"1 PLB","MTO","MS","D12",,19,2.00000,,,,"20230901","20240630",0.00880,,,"D12",,,,"aBn",,,,,,,,,,0,0,,,,,200000,2.00000,,,,,0,
112,5,5,5,"1 PLB","LCL","NE","D12",,19,5.00000,,,,"20230901","20240630",0.02200,,,"D12",,,,"aBn",,,,0,1,,,,,0,0,,,,,500000,5.00000,,,,,0,
114,5,5,5,"1 PLB","NVD","WI","D12",,19,5.00000,,,,"20230901","20240630",0.02200,,,"D12",,,,"aBn",,,,,,,,,,0,0,,,,,500000,5.00000,,,,,0,
116,1,1,1,"1 PLB","RVE","MO","E13",,19,1.00000,,,,"20230901","20240630",0.00440,,,"D12",,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
120,2,2,2,"1 PLB","ABE","TE","D13",,19,2.00000,,,,"20230901","20240630",0.00880,,,,,,,"n",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,,,0,
